Time,Time(ms),North China.Guyuan/ Bus 4 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Bus 5 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 35kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 35kV Side/ Positive -Sequence Voltage Magnitude
2023/09/17_02:12:00.0,0,226.952,226.939,524.681,226.945,35.9145,524.208,226.831,35.8953
2023/09/17_02:12:00.20,20,226.939,226.925,524.651,226.932,35.9134,524.178,226.811,35.8942
2023/09/17_02:12:00.40,40,226.925,226.919,524.635,226.919,35.9123,524.162,226.804,35.8931
2023/09/17_02:12:00.60,60,226.925,226.919,524.635,226.919,35.9113,524.178,226.804,35.8931
2023/09/17_02:12:00.80,80,226.932,226.925,524.62,226.919,35.9102,524.147,226.804,35.8921
2023/09/17_02:12:00.100,100,226.932,226.925,524.635,226.919,35.9113,524.162,226.811,35.8931
2023/09/17_02:12:00.120,120,226.945,226.925,524.651,226.932,35.9134,524.193,226.825,35.8953
2023/09/17_02:12:00.140,140,226.952,226.932,524.666,226.945,35.9145,524.208,226.831,35.8963
2023/09/17_02:12:00.160,160,226.966,226.952,524.696,226.952,35.9166,524.223,226.851,35.8985
2023/09/17_02:12:00.180,180,226.972,226.966,524.696,226.959,35.9177,524.223,226.851,35.8995
2023/09/17_02:12:00.200,200,226.959,226.952,524.681,226.952,35.9166,524.193,226.838,35.8985
2023/09/17_02:12:00.220,220,226.959,226.945,524.681,226.945,35.9166,524.178,226.838,35.8985
2023/09/17_02:12:00.240,240,226.945,226.932,524.651,226.932,35.9145,524.162,226.818,35.8963
2023/09/17_02:12:00.260,260,226.919,226.912,524.605,226.912,35.9113,524.132,226.791,35.8921
2023/09/17_02:12:00.280,280,226.925,226.912,524.605,226.912,35.9113,524.132,226.798,35.8931
2023/09/17_02:12:00.300,300,226.878,226.865,524.559,226.858,35.9059,524.086,226.751,35.8878
2023/09/17_02:12:00.320,320,226.784,226.764,524.483,226.764,35.8867,524.01,226.657,35.8643
2023/09/17_02:12:00.340,340,226.818,226.804,524.513,226.804,35.8931,524.025,226.697,35.8707
2023/09/17_02:12:00.360,360,226.892,226.885,524.544,226.885,35.9091,524.071,226.771,35.891
2023/09/17_02:12:00.380,380,226.892,226.878,524.529,226.878,35.9081,524.071,226.764,35.8889
2023/09/17_02:12:00.400,400,226.898,226.885,524.544,226.885,35.9081,524.101,226.778,35.8899
2023/09/17_02:12:00.420,420,226.912,226.898,524.559,226.905,35.9091,524.101,226.791,35.891
2023/09/17_02:12:00.440,440,226.905,226.898,524.529,226.898,35.9091,524.071,226.778,35.8899
2023/09/17_02:12:00.460,460,226.898,226.885,524.513,226.885,35.9091,524.04,226.771,35.8899
2023/09/17_02:12:00.480,480,226.892,226.878,524.498,226.878,35.907,524.025,226.764,35.8878
2023/09/17_02:12:00.500,500,226.885,226.872,524.498,226.878,35.9059,524.025,226.757,35.8867
2023/09/17_02:12:00.520,520,226.878,226.872,524.498,226.872,35.9049,524.025,226.757,35.8867
2023/09/17_02:12:00.540,540,226.865,226.851,524.452,226.858,35.9027,523.964,226.737,35.8846
2023/09/17_02:12:00.560,560,226.858,226.851,524.452,226.851,35.9027,523.949,226.731,35.8846
2023/09/17_02:12:00.580,580,226.878,226.865,524.498,226.865,35.9049,523.995,226.751,35.8867
2023/09/17_02:12:00.600,600,226.892,226.885,524.529,226.885,35.907,524.04,226.771,35.8889
2023/09/17_02:12:00.620,620,226.892,226.878,524.498,226.885,35.9081,524.025,226.764,35.8878
2023/09/17_02:12:00.640,640,226.872,226.865,524.468,226.865,35.9049,523.979,226.751,35.8846
2023/09/17_02:12:00.660,660,226.865,226.858,524.468,226.858,35.9038,523.995,226.737,35.8846
2023/09/17_02:12:00.680,680,226.878,226.872,524.483,226.872,35.9049,524.04,226.757,35.8867
2023/09/17_02:12:00.700,700,226.878,226.872,524.483,226.872,35.9049,524.025,226.757,35.8867
2023/09/17_02:12:00.720,720,226.858,226.851,524.452,226.851,35.9027,523.964,226.737,35.8846
2023/09/17_02:12:00.740,740,226.858,226.845,524.437,226.845,35.9017,523.964,226.737,35.8846
2023/09/17_02:12:00.760,760,226.872,226.858,524.468,226.858,35.9038,523.995,226.744,35.8857
2023/09/17_02:12:00.780,780,226.885,226.878,524.513,226.872,35.9059,524.04,226.764,35.8889
2023/09/17_02:12:00.800,800,226.905,226.898,524.544,226.898,35.9091,524.056,226.784,35.8921
2023/09/17_02:12:00.820,820,226.905,226.892,524.529,226.892,35.9091,524.056,226.778,35.891
2023/09/17_02:12:00.840,840,226.898,226.885,524.529,226.885,35.9081,524.04,226.771,35.8899
2023/09/17_02:12:00.860,860,226.905,226.898,524.559,226.892,35.9091,524.071,226.784,35.8899
2023/09/17_02:12:00.880,880,226.912,226.905,524.574,226.898,35.9102,524.086,226.791,35.891
2023/09/17_02:12:00.900,900,226.912,226.898,524.559,226.892,35.9102,524.071,226.791,35.891
2023/09/17_02:12:00.920,920,226.919,226.905,524.559,226.905,35.9102,524.071,226.791,35.891
2023/09/17_02:12:00.940,940,226.932,226.919,524.59,226.925,35.9134,524.101,226.811,35.8942
2023/09/17_02:12:00.960,960,226.939,226.925,524.605,226.925,35.9134,524.117,226.811,35.8942
2023/09/17_02:12:00.980,980,226.932,226.919,524.59,226.919,35.9113,524.117,226.804,35.8931
2023/09/17_02:12:01.0,0,226.932,226.919,524.59,226.919,35.9123,524.117,226.804,35.8931
2023/09/17_02:12:01.20,20,226.932,226.919,524.574,226.919,35.9123,524.117,226.804,35.8931
2023/09/17_02:12:01.40,40,226.932,226.919,524.59,226.919,35.9113,524.117,226.804,35.8942
2023/09/17_02:12:01.60,60,226.925,226.919,524.59,226.919,35.9113,524.117,226.804,35.8942
2023/09/17_02:12:01.80,80,226.919,226.912,524.559,226.905,35.9113,524.101,226.798,35.8921
2023/09/17_02:12:01.100,100,226.919,226.912,524.574,226.905,35.9113,524.101,226.798,35.8931
2023/09/17_02:12:01.120,120,226.925,226.919,524.59,226.912,35.9123,524.117,226.804,35.8942
2023/09/17_02:12:01.140,140,226.932,226.932,524.605,226.925,35.9134,524.147,226.811,35.8953
2023/09/17_02:12:01.160,160,226.952,226.945,524.651,226.939,35.9145,524.162,226.825,35.8963
2023/09/17_02:12:01.180,180,226.892,226.878,524.605,226.878,35.9038,524.101,226.771,35.8846
2023/09/17_02:12:01.200,200,226.858,226.838,524.559,226.851,35.8995,524.056,226.731,35.8803
2023/09/17_02:12:01.220,220,226.898,226.892,524.559,226.898,35.9091,524.071,226.784,35.8899
2023/09/17_02:12:01.240,240,226.912,226.905,524.574,226.905,35.9091,524.086,226.798,35.891
2023/09/17_02:12:01.260,260,226.905,226.898,524.559,226.898,35.9081,524.071,226.784,35.891
2023/09/17_02:12:01.280,280,226.905,226.885,524.529,226.892,35.9091,524.056,226.778,35.891
